ДеньНеделиДаты;Revenue;Absolute Margin;Margin;Average Margin;Average Check;# of check;# of goods;Average # of goods in check;# of unique clients;Value of a Client
1;48722163;10379827;0.21304117799532013;2170.603722291928;2075;4782;82163;3;13788;753
2;57668727;10889185;0.18882305135676047;2158.8392149088027;1785;5044;106251;4;17238;632
3;61446051;11892282;0.1935402162785042;2242.1346153846152;1773;5304;112386;4;18145;655
4;55547809;10974089;0.1975611495315684;2118.55;1812;5180;98742;3;16746;655
5;46633976;9098775;0.19511042764185493;1872.1759259259259;1887;4860;81791;3;13975;651
6;36529086;7416500;0.20302999095022525;1830.33070088845;2202;4052;55102;3;10128;732
7;40637047;8417104;0.20712883000578267;1983.2950047125353;2252;4244;66114;3;11096;759
