Тип;%Revenue;%Absolute Margin;%Num of check;%Num of goods;%Num of unique clients;Num of check;Num of goods;Num of unique clients
КГТ;91.38965209806206;91.3368428669714;4129;24813;18869;94.48512585812358;91.05688073394495;92.36379656370846
ОДЕЖДА;75.38746045182052;75.73679047499026;3474;74936;20895;87.02404809619239;76.6295122200634;81.51601451254243
ИГРУШКИ;90.0315391330606;90.44064353323562;6662;91595;30959;92.36101483432691;85.31417074942718;90.48635061670662
ППКП;93.13348930981934;91.96670547310504;4598;395410;36811;96.03174603174604;92.1897185650103;92.82814273105535
ИНОЕ;93.06790062666927;86.84513724161302;900;15795;1814;96.56652360515021;91.7727035035733;90.92731829573934
