Тип;Revenue;Absolute Margin;Margin;Average Margin;Average Check;# of check;# of goods;Average # of goods in check;# of unique clients;Value of a Client
КГТ;126874662;36945067;0.29119342205617066;8947.703317994672;5562;4129;24813;1;18869;1958
ОДЕЖДА;43326434;14195024;0.3276296406023168;4086.0748416810593;844;3474;74936;3;20895;679
ИГРУШКИ;56868726;10440429;0.18358823441903727;1567.161362954068;1087;6662;91595;2;30959;337
ППКП;116986928;7371915;0.0630148609424123;1603.2872988255763;1154;4598;395410;4;36811;200
ИНОЕ;3128108;115326;0.03686765290712469;128.14;939;900;15795;3;1814;64
