МесяцДаты;Revenue;Absolute Margin;Margin;Average Margin;Average Check;# of check;# of goods;Average # of goods in check;# of unique clients;Value of a Client
5;186701796;61715139;0.3305546080552969;6458.260673922143;3187;9556;200736;3;48617;1269
6;160697963;51223390;0.31875568951673644;5402.171482809534;3305;9482;173356;3;42569;1203
