Регион;Revenue;Absolute Margin;Margin;Average Margin;Average Check;# of check;# of goods;Average # of goods in check;# of unique clients;Value of a Client
Островцы (Раменский район);8272;2340;0.2828820116054159;1170.0;4185;2;13;6;2;1170
Куркино (Шаховской район);1590;573;0.360377358490566;573.0;1639;1;7;7;1;573
Тучково СТ (Рузский район);28590;11556;0.4041972717733473;11556.0;28590;1;1;1;1;11556
Ногинск-5 (Ногинский район);7188;3191;0.4439343350027824;1595.5;3644;2;8;4;2;1596
Ховрино (Мытищинский район);13169;4673;0.35484850785936667;4673.0;13218;1;3;3;1;4673
Румянцево (Истринский район);22512;5869;0.2607054015636105;1956.3333333333333;7570;3;6;2;2;2934
Ульянково (Мытищинский район);3866;1232;0.31867563372995344;1232.0;3866;1;8;8;1;1232
Новодрожжино (Ленинский район);7499;1500;0.20002667022269635;1500.0;7499;1;1;1;1;1500
Булатниково (Ленинский район);3597;-4045;-1.1245482346399778;-4045.0;3597;1;3;3;1;-4045
Королев;4961;897;0.1808103204998992;448.5;2530;2;12;6;2;448
Балобаново (Ногинский район);1744;413;0.2368119266055046;413.0;1843;1;3;3;1;413
Погорелки (Мытищинский район);5860;1350;0.23037542662116042;1350.0;5909;1;1;1;1;1350
Барвиха (Одинцовский район);28500;1080;0.037894736842105266;1080.0;28500;1;1;1;1;1080
Быково (Раменский район);2999;609;0.20306768922974325;609.0;3048;1;1;1;1;609
