МесяцДаты;%Revenue;%Absolute Margin;%Num of check;%Num of goods;%Num of unique clients;Num of check;Num of goods;Num of unique clients
5;89.22267199796002;87.00434950550533;8471;321522;48610;92.34710563610597;88.4619405818554;90.34980112263484
6;89.56275070392651;88.26484472761173;8577;281027;42556;93.11692541526436;89.19679811086002;90.72226485887269
