ДеньНеделиДаты;%Revenue;%Absolute Margin;%Num of check;%Num of goods;%Num of unique clients;Num of check;Num of goods;Num of unique clients
Monday;90.42471169447886;88.50845252755532;4782;82163;13788;94.26374926079242;90.82598218036303;90.4012588512982
Tuesday;89.38076639367708;87.93304410967629;5044;106251;17238;93.61544172234595;88.21683285869665;89.52944842630103
Wednesday;88.97147977463588;86.95719127035433;5304;112386;18145;93.52847822253571;87.79607524529716;89.05521472392638
Thursday;88.63807358236438;86.35452913005639;5180;98742;16746;93.92565729827741;88.5721461760643;89.00345469040658
Friday;89.26982950227153;87.18098363162666;4860;81791;13975;93.73191899710704;89.15619311307078;88.91080290113246
Saturday;89.03200389440067;87.74095637583297;4052;55102;10128;92.78681016716281;88.10399411595408;88.740909489179
Sunday;90.2294619357651;88.60239112972285;4244;66114;11096;93.45959039859062;89.52956151991984;89.95541143088772
